Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,"-0,00333096469273619","0,0083363731202496","-7,05998821604048E-06",0,0,0,"111,552316494755","3,69522354301021","0,462525500928085","0,000604195824504181","7,6849769904481","0,00101027432345744","6,83677126276043",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/base_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/base_link.STL,,Combinar7-1,base_link,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
wh1_link,"4,60624230447237E-06","-1,39017706225937E-06","0,00103861565548169",0,0,0,"1,16963327708568","0,00513758375658071","-1,06056698976315E-07","-1,83557767891057E-07","0,00513721206306172","4,7327793948233E-08","0,00835667252463106",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh1_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh1_link.STL,,Simetría1[1]-1,wh1_link,Eje1,j1,continuous,"-0,14558","-0,19877","0,30516",0,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh2_link,"3,92629332124361E-06","2,78091989348514E-06","0,00103861562500163",0,0,0,"1,16963328379488","0,00513745501205058","2,06104403776097E-07","-1,50099635196023E-07","0,0051373404737964","-1,15773920222458E-07","0,0083566723858764",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh2_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh2_link.STL,,Simetría1[1]-2,wh2_link,Eje2,j2,continuous,"0,30442","-0,19877","0,30516",0,0,0,base_link,0,0,-1,,,,,,,,,,,,
wh3_link,"4,75014823875242E-06","-8,0951322404231E-07","-0,00103893565212637",0,0,0,"1,16955011461694","0,00513730359145455","-5,71763557375585E-08","1,88152675229107E-07","0,00513689131918041","-2,42130615914316E-08","0,00835611193645973",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh3_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh3_link.STL,,Simetría2[4]-1,wh3_link,Eje3,j3,continuous,"-0,14558","-0,19877","-0,30484",0,0,0,base_link,0,0,1,,,,,,,,,,,,
wh4_link,"-2,88859930108742E-06","-3,85683987606106E-06","-0,00103893565213689",0,0,0,"1,16955011461696","0,00513702366989998","2,00790822605879E-07","-1,07431126802095E-07","0,00513717124073298","-1,56352980378686E-07","0,00835611193645932",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh4_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/wh4_link.STL,,Simetría2[4]-2,wh4_link,Eje4,j4,continuous,"0,30442","-0,19877","-0,30484",0,0,0,base_link,0,0,1,,,,,,,,,,,,
lidar_link,"0,0413676083823298","-0,290389579841708","-0,000164679184994299",0,0,0,"111,552316494755","3,69522354301022","0,462525500928085","0,000604195824504136","7,6849769904481","0,00101027432345741","6,83677126276043",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/lidar_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/lidar_link.STL,,Combinar7-1,lidar_link,,lidar_joint,fixed,"-0,044699","0,29873","0,00015762",0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_link,"0,233796640534236","-0,181564953118314","-0,000164679184994243",0,0,0,"111,552316494755","3,69522354301022","0,462525500928085","0,000604195824504188","7,6849769904481","0,00101027432345744","6,83677126276043",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/camera_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/camera_link.STL,,Combinar7-1,camera_link,,camera_joint,fixed,"-0,23713","0,1899","0,00015762",0,0,0,base_link,0,0,0,,,,,,,,,,,,
sensors_link,"0,284117008375572","0,0321104201582918","-0,000164679184994299",0,0,0,"111,552316494755","3,69522354301022","0,462525500928085","0,000604195824504148","7,6849769904481","0,00101027432345748","6,83677126276043",0,0,0,0,0,0,package://palletizer_v1_ws/meshes/sensors_link.STL,"0,792156862745098","0,819607843137255","0,933333333333333",1,0,0,0,0,0,0,package://palletizer_v1_ws/meshes/sensors_link.STL,,Combinar7-1,sensors_link,,sensors_joint,fixed,"-0,28745","-0,023774","0,00015762",0,0,0,base_link,0,0,0,,,,,,,,,,,,
